Dates,Dayname
2020-05-07,Thursday
2020-05-14,Thursday
2020-08-13,Thursday
2020-08-20,Thursday
2020-08-27,Thursday
2020-09-10,Thursday
2021-05-20,Thursday
2021-07-15,Thursday
2021-11-11,Thursday
2021-12-30,Thursday
2022-02-10,Thursday
2022-06-09,Thursday
2022-07-14,Thursday
2023-02-02,Thursday
2023-02-16,Thursday
2023-08-17,Thursday
2023-11-16,Thursday
2024-01-04,Thursday
2024-01-18,Thursday
2024-02-01,Thursday
2024-02-08,Thursday
2024-02-15,Thursday
2024-05-16,Thursday
2024-05-30,Thursday
2024-06-06,Thursday
2024-08-22,Thursday
2024-11-14,Thursday
2025-01-02,Thursday
2025-01-23,Thursday
2020-05-28,Thursday
2021-03-18,Thursday
2021-04-29,Thursday
2021-07-29,Thursday
2021-09-02,Thursday
2020-04-23,Thursday
2020-04-30,Thursday
2021-02-18,Thursday
2021-05-27,Thursday
2021-06-17,Thursday
2021-11-18,Thursday
2022-01-06,Thursday
2022-02-03,Thursday
2022-02-17,Thursday
2022-03-17,Thursday
2022-08-04,Thursday
2023-05-11,Thursday
2024-01-25,Thursday
2024-06-13,Thursday
2020-10-29,Thursday
2021-01-28,Thursday
2021-03-25,Thursday
2021-04-22,Thursday
2021-08-05,Thursday
2021-08-26,Thursday
2022-03-31,Thursday
2022-04-07,Thursday
2022-04-14,Thursday
2022-04-21,Thursday
2022-05-12,Thursday
2022-05-26,Thursday
2022-06-30,Thursday
2022-09-08,Thursday
2022-09-22,Thursday
2022-09-29,Thursday
2022-12-15,Thursday
2023-01-05,Thursday
2023-01-12,Thursday
2023-03-30,Thursday
2023-04-06,Thursday
2023-04-13,Thursday
2023-12-28,Thursday
2024-09-12,Thursday
2024-09-26,Thursday
2020-08-14,Friday
2020-08-21,Friday
2020-08-28,Friday
2020-09-11,Friday
2021-05-21,Friday
2021-07-16,Friday
2021-11-12,Friday
2021-12-31,Friday
2022-02-11,Friday
2022-06-10,Friday
2022-07-15,Friday
2023-02-03,Friday
2023-02-17,Friday
2023-03-17,Friday
2023-08-18,Friday
2023-11-17,Friday
2024-01-05,Friday
2024-02-02,Friday
2024-02-09,Friday
2024-02-16,Friday
2024-05-17,Friday
2024-05-31,Friday
2024-06-07,Friday
2024-08-23,Friday
2024-11-15,Friday
2025-01-03,Friday
2025-01-24,Friday
2020-05-29,Friday
2021-03-19,Friday
2021-04-30,Friday
2021-07-30,Friday
2021-09-03,Friday
2020-04-24,Friday
2020-05-01,Friday
2021-02-19,Friday
2021-04-09,Friday
2021-06-18,Friday
2021-11-19,Friday
2022-01-07,Friday
2022-02-04,Friday
2022-02-18,Friday
2022-07-22,Friday
2022-08-05,Friday
2023-05-12,Friday
2024-01-26,Friday
2024-06-14,Friday
2021-01-22,Friday
2021-01-29,Friday
2021-03-26,Friday
2021-04-02,Friday
2021-04-23,Friday
2021-08-06,Friday
2022-04-01,Friday
2022-04-08,Friday
2022-04-15,Friday
2022-04-22,Friday
2022-05-13,Friday
2022-05-27,Friday
2022-07-01,Friday
2022-09-09,Friday
2022-09-23,Friday
2022-09-30,Friday
2022-12-16,Friday
2023-01-06,Friday
2023-01-13,Friday
2023-02-24,Friday
2023-03-31,Friday
2023-04-07,Friday
2023-04-14,Friday
2023-12-29,Friday
2024-09-13,Friday
2024-09-27,Friday
2020-08-24,Monday
2020-08-31,Monday
2020-09-14,Monday
2021-05-24,Monday
2021-07-19,Monday
2021-11-01,Monday
2021-11-15,Monday
2022-01-03,Monday
2022-02-14,Monday
2022-07-18,Monday
2023-02-06,Monday
2023-02-20,Monday
2023-03-20,Monday
2023-05-22,Monday
2023-05-29,Monday
2023-08-21,Monday
2023-11-20,Monday
2024-01-22,Monday
2024-02-12,Monday
2024-02-19,Monday
2024-05-20,Monday
2024-06-03,Monday
2024-06-10,Monday
2024-08-26,Monday
2024-11-18,Monday
2020-06-01,Monday
2021-03-22,Monday
2021-05-03,Monday
2021-08-02,Monday
2021-09-06,Monday
2022-09-05,Monday
2020-04-27,Monday
2020-05-04,Monday
2021-02-22,Monday
2021-05-31,Monday
2021-06-21,Monday
2021-11-22,Monday
2022-01-10,Monday
2022-01-24,Monday
2022-02-07,Monday
2022-02-21,Monday
2022-07-25,Monday
2022-08-08,Monday
2023-05-15,Monday
2024-01-29,Monday
2024-06-17,Monday
2020-11-02,Monday
2021-01-25,Monday
2021-02-01,Monday
2021-03-29,Monday
2021-04-26,Monday
2021-08-09,Monday
2021-08-30,Monday
2022-04-04,Monday
2022-04-18,Monday
2022-04-25,Monday
2022-05-16,Monday
2022-05-30,Monday
2022-07-04,Monday
2022-09-12,Monday
2022-09-26,Monday
2022-10-03,Monday
2022-12-19,Monday
2023-01-09,Monday
2023-01-16,Monday
2023-02-27,Monday
2023-04-03,Monday
2023-04-10,Monday
2023-04-17,Monday
2024-01-01,Monday
2024-09-16,Monday
2024-09-30,Monday
2020-05-12,Tuesday
2020-08-25,Tuesday
2020-09-15,Tuesday
2021-05-25,Tuesday
2021-07-20,Tuesday
2021-11-02,Tuesday
2021-11-09,Tuesday
2021-11-16,Tuesday
2022-01-04,Tuesday
2022-02-15,Tuesday
2022-06-14,Tuesday
2022-07-19,Tuesday
2023-02-07,Tuesday
2023-02-21,Tuesday
2023-03-21,Tuesday
2023-05-23,Tuesday
2023-08-22,Tuesday
2023-11-21,Tuesday
2024-01-23,Tuesday
2024-02-06,Tuesday
2024-02-13,Tuesday
2024-02-20,Tuesday
2024-05-21,Tuesday
2024-06-04,Tuesday
2024-06-11,Tuesday
2024-08-27,Tuesday
2024-11-19,Tuesday
2025-01-07,Tuesday
2025-01-28,Tuesday
2020-06-02,Tuesday
2021-03-23,Tuesday
2021-05-04,Tuesday
2021-08-03,Tuesday
2021-09-07,Tuesday
2022-09-06,Tuesday
2020-04-28,Tuesday
2020-05-05,Tuesday
2021-02-23,Tuesday
2021-06-01,Tuesday
2021-06-22,Tuesday
2021-11-23,Tuesday
2022-01-11,Tuesday
2022-02-08,Tuesday
2022-02-22,Tuesday
2022-03-22,Tuesday
2022-07-26,Tuesday
2022-08-09,Tuesday
2023-05-16,Tuesday
2024-01-30,Tuesday
2024-06-18,Tuesday
2020-11-03,Tuesday
2021-01-26,Tuesday
2021-02-02,Tuesday
2021-03-30,Tuesday
2021-04-06,Tuesday
2021-04-27,Tuesday
2021-08-10,Tuesday
2021-08-31,Tuesday
2022-04-05,Tuesday
2022-04-19,Tuesday
2022-04-26,Tuesday
2022-05-17,Tuesday
2022-05-31,Tuesday
2022-07-05,Tuesday
2022-09-13,Tuesday
2022-09-27,Tuesday
2022-10-04,Tuesday
2022-12-20,Tuesday
2023-01-10,Tuesday
2023-02-28,Tuesday
2023-04-04,Tuesday
2023-04-11,Tuesday
2023-04-18,Tuesday
2024-01-02,Tuesday
2024-09-17,Tuesday
2024-10-01,Tuesday
